joint id: 2, measured_angle: -0.002495, target_angle: -0.005160, newest_measurement_index: 11640
joint id: 3, measured_angle: -0.001170, target_angle: 0.001530, newest_measurement_index: 9437
joint id: 4, measured_angle: -0.117150, target_angle: -0.114450, newest_measurement_index: 9547
joint id: 5, measured_angle: -0.000542, target_angle: -0.003242, newest_measurement_index: 9547
joint id: 6, measured_angle: 0.008245, target_angle: 0.010945, newest_measurement_index: 9214
joint id: 7, measured_angle: -0.001832, target_angle: 0.000868, newest_measurement_index: 9318
joint id: 8, measured_angle: -0.001763, target_angle: -0.004463, newest_measurement_index: 9318
joint id: 0, measured_angle: -0.001832, target_angle: 0.001098, newest_measurement_index: 11528
joint id: 1, measured_angle: -0.106812, target_angle: -0.103847, newest_measurement_index: 11641
joint id: 2, measured_angle: -0.002495, target_angle: -0.005460, newest_measurement_index: 11641
joint id: 3, measured_angle: -0.001170, target_angle: 0.001830, newest_measurement_index: 9437
joint id: 4, measured_angle: -0.117150, target_angle: -0.114150, newest_measurement_index: 9548
joint id: 5, measured_angle: -0.000542, target_angle: -0.003542, newest_measurement_index: 9548
joint id: 6, measured_angle: 0.008245, target_angle: 0.011245, newest_measurement_index: 9215
joint id: 7, measured_angle: -0.001832, target_angle: 0.001168, newest_measurement_index: 9319
joint id: 8, measured_angle: -0.001763, target_angle: -0.004763, newest_measurement_index: 9319
joint id: 0, measured_angle: -0.001832, target_angle: 0.001398, newest_measurement_index: 11529
joint id: 1, measured_angle: -0.106812, target_angle: -0.103547, newest_measurement_index: 11642
joint id: 2, measured_angle: -0.002530, target_angle: -0.005760, newest_measurement_index: 11642
joint id: 3, measured_angle: -0.001135, target_angle: 0.002130, newest_measurement_index: 9438
joint id: 4, measured_angle: -0.117150, target_angle: -0.113850, newest_measurement_index: 9548
joint id: 5, measured_angle: -0.000542, target_angle: -0.003842, newest_measurement_index: 9548
joint id: 6, measured_angle: 0.008245, target_angle: 0.011545, newest_measurement_index: 9215
joint id: 7, measured_angle: -0.001832, target_angle: 0.001468, newest_measurement_index: 9319
joint id: 8, measured_angle: -0.001763, target_angle: -0.005063, newest_measurement_index: 9319
joint id: 0, measured_angle: -0.001797, target_angle: 0.001698, newest_measurement_index: 11530
joint id: 1, measured_angle: -0.106777, target_angle: -0.103247, newest_measurement_index: 11643
joint id: 2, measured_angle: -0.002530, target_angle: -0.006060, newest_measurement_index: 11643
joint id: 3, measured_angle: -0.001135, target_angle: 0.002430, newest_measurement_index: 9438
joint id: 4, measured_angle: -0.117150, target_angle: -0.113550, newest_measurement_index: 9548
joint id: 5, measured_angle: -0.000542, target_angle: -0.004142, newest_measurement_index: 9548
joint id: 6, measured_angle: 0.008245, target_angle: 0.011845, newest_measurement_index: 9215
joint id: 7, measured_angle: -0.001832, target_angle: 0.001768, newest_measurement_index: 9319
joint id: 8, measured_angle: -0.001763, target_angle: -0.005363, newest_measurement_index: 9319
joint id: 0, measured_angle: -0.001763, target_angle: 0.001998, newest_measurement_index: 11531
joint id: 1, measured_angle: -0.106777, target_angle: -0.102947, newest_measurement_index: 11644
joint id: 2, measured_angle: -0.002530, target_angle: -0.006360, newest_measurement_index: 11644
joint id: 3, measured_angle: -0.001135, target_angle: 0.002730, newest_measurement_index: 9439
joint id: 4, measured_angle: -0.117150, target_angle: -0.113250, newest_measurement_index: 9549
joint id: 5, measured_angle: -0.000542, target_angle: -0.004442, newest_measurement_index: 9549
joint id: 6, measured_angle: 0.008245, target_angle: 0.012145, newest_measurement_index: 9215
joint id: 7, measured_angle: -0.001832, target_angle: 0.002068, newest_measurement_index: 9320
joint id: 8, measured_angle: -0.001763, target_angle: -0.005663, newest_measurement_index: 9320
joint id: 0, measured_angle: -0.001728, target_angle: 0.002298, newest_measurement_index: 11532
joint id: 1, measured_angle: -0.106743, target_angle: -0.102647, newest_measurement_index: 11645
joint id: 2, measured_angle: -0.002530, target_angle: -0.006660, newest_measurement_index: 11646
joint id: 3, measured_angle: -0.001135, target_angle: 0.003030, newest_measurement_index: 9439
joint id: 4, measured_angle: -0.117150, target_angle: -0.112950, newest_measurement_index: 9549
joint id: 5, measured_angle: -0.000542, target_angle: -0.004742, newest_measurement_index: 9549
joint id: 6, measured_angle: 0.008245, target_angle: 0.012445, newest_measurement_index: 9215
joint id: 7, measured_angle: -0.001832, target_angle: 0.002368, newest_measurement_index: 9320
joint id: 8, measured_angle: -0.001763, target_angle: -0.005963, newest_measurement_index: 9320
joint id: 0, measured_angle: -0.001728, target_angle: 0.002598, newest_measurement_index: 11533
joint id: 1, measured_angle: -0.106743, target_angle: -0.102347, newest_measurement_index: 11646
joint id: 2, measured_angle: -0.002530, target_angle: -0.006960, newest_measurement_index: 11646
joint id: 3, measured_angle: -0.001135, target_angle: 0.003330, newest_measurement_index: 9439
joint id: 4, measured_angle: -0.117150, target_angle: -0.112650, newest_measurement_index: 9549
