joint id: 2, measured_angle: 0.016773, target_angle: 0.014108, newest_measurement_index: 10050
joint id: 3, measured_angle: 0.001550, target_angle: 0.004250, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.004041, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.020714, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.025994, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.018749, newest_measurement_index: 5068
joint id: 8, measured_angle: -0.005215, target_angle: -0.007915, newest_measurement_index: 5068
joint id: 0, measured_angle: -0.010953, target_angle: -0.007987, newest_measurement_index: 9973
joint id: 1, measured_angle: -0.010395, target_angle: -0.007464, newest_measurement_index: 10051
joint id: 2, measured_angle: 0.016773, target_angle: 0.013808, newest_measurement_index: 10051
joint id: 3, measured_angle: 0.001550, target_angle: 0.004550, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.004341, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.020414, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.026294, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.018449, newest_measurement_index: 5068
joint id: 8, measured_angle: -0.005215, target_angle: -0.008215, newest_measurement_index: 5068
joint id: 0, measured_angle: -0.010918, target_angle: -0.007687, newest_measurement_index: 9974
joint id: 1, measured_angle: -0.010395, target_angle: -0.007164, newest_measurement_index: 10052
joint id: 2, measured_angle: 0.016773, target_angle: 0.013508, newest_measurement_index: 10052
joint id: 3, measured_angle: 0.001550, target_angle: 0.004850, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.004641, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.020114, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.026594, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.018149, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.008515, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010918, target_angle: -0.007387, newest_measurement_index: 9975
joint id: 1, measured_angle: -0.010360, target_angle: -0.006864, newest_measurement_index: 10053
joint id: 2, measured_angle: 0.016738, target_angle: 0.013208, newest_measurement_index: 10053
joint id: 3, measured_angle: 0.001550, target_angle: 0.005150, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.004941, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.019814, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.026894, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.017849, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.008815, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010883, target_angle: -0.007087, newest_measurement_index: 9976
joint id: 1, measured_angle: -0.010360, target_angle: -0.006564, newest_measurement_index: 10054
joint id: 2, measured_angle: 0.016738, target_angle: 0.012908, newest_measurement_index: 10054
joint id: 3, measured_angle: 0.001550, target_angle: 0.005450, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.005241, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.019514, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.027194, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.017549, newest_measurement_index: 5069
joint id: 8, measured_angle: -0.005215, target_angle: -0.009115, newest_measurement_index: 5069
joint id: 0, measured_angle: -0.010883, target_angle: -0.006787, newest_measurement_index: 9977
joint id: 1, measured_angle: -0.010360, target_angle: -0.006264, newest_measurement_index: 10055
joint id: 2, measured_angle: 0.016703, target_angle: 0.012608, newest_measurement_index: 10055
joint id: 3, measured_angle: 0.001550, target_angle: 0.005750, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.005541, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.019214, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.027494, newest_measurement_index: 4993
