joint id: 2, measured_angle: -0.002181, target_angle: -0.004881, newest_measurement_index: 11898
joint id: 3, measured_angle: -0.001030, target_angle: 0.001670, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.104895, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.003207, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.010980, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: 0.000693, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.004567, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002828, target_angle: 0.000137, newest_measurement_index: 11782
joint id: 1, measured_angle: -0.098548, target_angle: -0.095583, newest_measurement_index: 11899
joint id: 2, measured_angle: -0.002216, target_angle: -0.005181, newest_measurement_index: 11899
joint id: 3, measured_angle: -0.001030, target_angle: 0.001970, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.104595, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.003507, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.011280, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: 0.000993, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.004867, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002793, target_angle: 0.000437, newest_measurement_index: 11783
joint id: 1, measured_angle: -0.098548, target_angle: -0.095283, newest_measurement_index: 11900
joint id: 2, measured_angle: -0.002251, target_angle: -0.005481, newest_measurement_index: 11900
joint id: 3, measured_angle: -0.001030, target_angle: 0.002270, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.104295, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.003807, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.011580, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: 0.001293, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.005167, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002793, target_angle: 0.000737, newest_measurement_index: 11785
joint id: 1, measured_angle: -0.098548, target_angle: -0.094983, newest_measurement_index: 11901
joint id: 2, measured_angle: -0.002251, target_angle: -0.005781, newest_measurement_index: 11902
joint id: 3, measured_angle: -0.001030, target_angle: 0.002570, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.103995, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.004107, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.011880, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: 0.001593, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.005467, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002758, target_angle: 0.001037, newest_measurement_index: 11786
joint id: 1, measured_angle: -0.098513, target_angle: -0.094683, newest_measurement_index: 11903
joint id: 2, measured_angle: -0.002286, target_angle: -0.006081, newest_measurement_index: 11903
joint id: 3, measured_angle: -0.001030, target_angle: 0.002870, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.103695, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.004407, newest_measurement_index: 9613
